1 0.1	719
1 0.2	375
1 0.3	350
1 0.4	278
1 0.5	290
1 0.6	193
1 0.7	200
1 0.8	186
1 0.9	181
1 1.0	185
2 0.1	1912
2 0.2	864
2 0.3	379
2 0.4	356
2 0.5	256
2 0.6	245
2 0.7	195
2 0.8	239
2 0.9	146
2 1.0	166
3 0.1	1252
3 0.2	465
3 0.3	510
3 0.4	320
3 0.5	224
3 0.6	209
3 0.7	225
3 0.8	223
3 0.9	186
3 1.0	157
4 0.1	989
4 0.2	613
4 0.3	619
4 0.4	266
4 0.5	238
4 0.6	256
4 0.7	197
4 0.8	169
4 0.9	164
4 1.0	178
5 0.1	1130
5 0.2	376
5 0.3	354
5 0.4	296
5 0.5	348
5 0.6	202
5 0.7	205
5 0.8	161
5 0.9	250
5 1.0	173
6 0.1	971
6 0.2	473
6 0.3	450
6 0.4	452
6 0.5	334
6 0.6	282
6 0.7	283
6 0.8	264
6 0.9	175
6 1.0	154
7 0.1	1177
7 0.2	532
7 0.3	416
7 0.4	531
7 0.5	278
7 0.6	273
7 0.7	245
7 0.8	166
7 0.9	158
7 1.0	147
8 0.1	1300
8 0.2	1449
8 0.3	513
8 0.4	403
8 0.5	290
8 0.6	223
8 0.7	253
8 0.8	215
8 0.9	199
8 1.0	168
9 0.1	1470
9 0.2	574
9 0.3	389
9 0.4	271
9 0.5	224
9 0.6	268
9 0.7	222
9 0.8	193
9 0.9	188
9 1.0	151
10 0.1	839
10 0.2	579
10 0.3	350
10 0.4	306
10 0.5	219
10 0.6	207
10 0.7	201
10 0.8	191
10 0.9	162
10 1.0	186
